"";"site_id";"nature";"nom_prodcartofriches";"site_statut";"geom"
"1458";"33226_12608";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(-0.400271717024307, 44.7062270206128)
"1459";"22006_4945";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.31659521632014, 48.6944331323779)
"1460";"59178_8319";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(3.08093249270247, 50.3922129554849)
"1461";"45038_941";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.29118560443677, 48.1704323946383)
"1462";"88308_1756";"Ademe";"Friche étude Ademe 2021, intéressante pour du PV au sol";"inconnu";c(5.65774230636589, 48.3473142148645)
"1463";"88298_1776";"Ademe";"Friche étude Ademe 2021, intéressante pour du PV au sol";"inconnu";c(6.6501190888947, 48.4111936145521)
"1464";"88124_3772";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(6.0518056398594, 48.0859342325745)
"1465";"19239_3294";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(1.29239137145201, 45.2556200425574)
"1466";"88530_3989";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(6.41000540700373, 48.0505050829722)
"1467";"28103_6085";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(1.24534877712641, 47.9885138984326)
"1468";"88467_6003";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(6.72976830060256, 47.9727768189343)
"1469";"71230_18174";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(4.06638413645738, 46.5958323722334)
"1470";"22168_5272";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.46839564149068, 48.8095837080404)
"1471";"55026_4088";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(5.59895802069512, 48.5452072136024)
"1472";"24259_16927";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(0.474272538513354, 44.931548268842)
"1473";"45203_20437";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(1.69452025402135, 47.8306750667746)
"1474";"45146_20713";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(1.94103358248491, 47.7207642828922)
"1475";"70279_18779";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(5.58780862198268, 47.45089366376)
"1476";"63463_17516";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(3.66551141805002, 45.8170032147381)
